Year,Awards,Title,Artist
2015,Record Of The Year,Uptown Funk,Bruno Mars
2015,Song Of The Year,Thinking Out Loud,Ed Sheeran
2015,Best Pop Solo Performance,Thinking Out Loud,Ed Sheeran
2015,Best Pop Duo/Group Performance,Uptown Funk,Bruno Mars
2015,Best Dance Recording,Where Are Ü Now,Justin Bieber
2015,Best Rock Performance,Don't Wanna Fight,Alabama Shakes
2015,Best Metal Performance,Cirice,Ghost
2015,Best Rock Song,Don't Wanna Fight,Alabama Shakes
2015,Best R&B Performance,Earned It (Fifty Shades Of Grey),The Weeknd
2015,Best Traditional R&B Performance,Little Ghetto Boy,Lalah Hathaway
2015,Best R&B Song,Really Love,D'Angelo
2015,Best Rap Performance,Alright,Kendrick Lamar
2015,Best Rap/Sung Collaboration,These Walls,Bilal
2015,Best Rap Song,Alright,Kendrick Duckworth
2015,Best Country Solo Performance,Traveller,Chris Stapleton
2015,Best Country Duo/Group Performance,Girl Crush,Little Big Town
2015,Best Country Song,Girl Crush,Hillary Lindsey
2015,Best Improvised Jazz Solo,Cherokee,Christian McBride
2015,Best Gospel Performance/Song,Wanna Be Happy?,Kirk Franklin
2015,Best Contemporary Christian Music Performance/Song,Holy Spirit,Francesca Battistelli
2015,Best American Roots Performance,See That My Grave Is Kept Clean,Mavis Staples
2015,Best American Roots Song,24 Frames,Jason Isbell
2015,Best Compilation Soundtrack For Visual Media,Glen Campbell: I'll Be Me,Julian Raymond
2015,Best Score Soundtrack For Visual Media,Birdman,Antonio Sanchez
2015,Best Song Written For Visual Media,Glory,Lonnie Lynn
2015,Best Instrumental Composition,The Afro Latin Jazz Suite,Arturo O'Farrill
2015,"Best Arrangement, Instrumental or A Cappella",Dance Of The Sugar Plum Fairy,Ben Bram
2015,"Best Arrangement, Instruments and Vocals",Sue (Or In A Season Of Crime),Maria Schneider
2015,"Best Remixed Recording, Non-Classical",Uptown Funk (Dave Audé Remix),Dave Audé
2015,Best Orchestral Performance,Shostakovich: Under Stalin's Shadow - Symphony No. 10,Andris Nelsons
2015,Best Opera Recording,Ravel: L'Enfant Et Les Sortilèges; Shéhérazade,Seiji Ozawa
2015,Best Choral Performance,Rachmaninoff: All-Night Vigil,Charles Bruffy
2015,Best Chamber Music/Small Ensemble Performance,Filament,Bryce Dessner
2015,Best Classical Instrumental Solo,"Dutilleux: Violin Concerto, L'Arbre Des Songes",Augustin Hadelich
2015,Best Classical Compendium,Paulus: Three Places Of Enlightenment; Veil Of Tears & Grand Concerto,Giancarlo Guerrero
2015,Best Contemporary Classical Composition,Paulus: Prayers & Remembrances,Stephen Paulus
2015,Best Music Film,Amy,Asif Kapadia
2014,Record Of The Year,Stay With Me (Darkchild Version),Sam Smith
2014,Song Of The Year,Stay With Me (Darkchild Version),James Napier
2014,Best Pop Solo Performance,Happy (Live),Pharrell Williams
2014,Best Pop Duo/Group Performance,Say Something,A Great Big World
2014,Best Dance Recording,Rather Be,Clean Bandit
2014,Best Rock Performance,Lazaretto,Jack White
2014,Best Metal Performance,The Last In Line,Tenacious D
2014,Best Rock Song,Ain't It Fun,Hayley Williams
2014,Best R&B Performance,Drunk In Love,Beyoncé
2014,Best Traditional R&B Performance,Jesus Children,Lalah Hathaway
2014,Best R&B Song,Drunk In Love,Shawn Carter
2014,Best Rap Performance,I,Kendrick Lamar
2014,Best Rap/Sung Collaboration,The Monster,Eminem
2014,Best Rap Song,I,K. Duckworth
2014,Best Country Solo Performance,Something In The Water,Carrie Underwood
2014,Best Country Duo/Group Performance,Gentle On My Mind,The Band Perry
2014,Best Country Song,I'm Not Gonna Miss You,Glen Campbell
2014,Best Improvised Jazz Solo,Fingerprints,Chick Corea
2014,Best Gospel Performance/Song,No Greater Love,Smokie Norful
2014,Best Contemporary Christian Music Performance/Song,Messengers,For King
2014,Best American Roots Performance,A Feather's Not A Bird,Rosanne Cash
2014,Best American Roots Song,A Feather's Not A Bird,Rosanne Cash
2014,Best Compilation Soundtrack For Visual Media,Frozen,Kristen Anderson-Lopez
2014,Best Score Soundtrack For Visual Media,The Grand Budapest Hotel,Alexandre Desplat
2014,Best Song Written For Visual Media,Let It Go,Kristen Anderson-Lopez
2014,Best Instrumental Composition,The Book Thief,John Williams
2014,"Best Arrangement, Instrumental or A Cappella",Daft Punk,Ben Bram
2014,"Best Arrangement, Instruments and Vocals",New York Tendaberry,Billy Childs
2014,"Best Remixed Recording, Non-Classical",All Of Me (Tiësto's Birthday Treatment Remix),Tijs Michiel Verwest
2014,Best Orchestral Performance,"Adams, John: City Noir",David Robertson
2014,Best Opera Recording,Charpentier: La Descente D'Orphée Aux Enfers,Paul O'Dette
2014,Best Choral Performance,The Sacred Spirit Of Russia,Craig Hella Johnson
2014,Best Chamber Music/Small Ensemble Performance,In 27 Pieces - The Hilary Hahn Encores,Hilary Hahn
2014,Best Classical Instrumental Solo,Play,Jason Vieaux
2014,Best Classical Compendium,Partch: Plectra & Percussion Dances,John Schneider
2014,Best Contemporary Classical Composition,"Adams, John Luther: Become Ocean",John Luther Adams
2014,Best Music Film,20 Feet From Stardom,Merry Clayton
2013,Record Of The Year,Get Lucky,Daft Punk
2013,Song Of The Year,Royals,Joel Little
2013,Best Pop Solo Performance,Royals,Lorde
2013,Best Pop Duo/Group Performance,Get Lucky,Daft Punk
2013,Best Dance Recording,Clarity,Foxes
2013,Best Rock Performance,Radioactive,Imagine Dragons
2013,Best Metal Performance,God Is Dead?,Black Sabbath
2013,Best Rock Song,Cut Me Some Slack,Dave Grohl
2013,Best R&B Performance,Something,Lalah Hathaway
2013,Best Traditional R&B Performance,Please Come Home,Gary Clark Jr.
2013,Best R&B Song,Pusher Love Girl,James Fauntleroy
2013,Best Rap Performance,Thrift Shop,Macklemore
2013,Best Rap/Sung Collaboration,Holy Grail,Jay Z
2013,Best Rap Song,Thrift Shop,Ben Haggerty
2013,Best Country Solo Performance,Wagon Wheel,Darius Rucker
2013,Best Country Duo/Group Performance,From This Valley,The Civil Wars
2013,Best Country Song,Merry Go 'Round,Shane McAnally
2013,Best Improvised Jazz Solo,Orbits,Wayne Shorter
2013,Best Gospel/Contemporary Christian Music Performance,Break Every Chain [Live],Tasha Cobbs
2013,Best Gospel Song,If He Did It Before... Same God [Live],Tye Tribbett
2013,Best Contemporary Christian Music Song,Overcomer,David Garcia
2013,Best American Roots Song,Love Has Come For You,Edie Brickell
2013,Best Compilation Soundtrack For Visual Media,Sound City: Real To Reel,Dave Grohl
2013,Best Score Soundtrack For Visual Media,Skyfall,Thomas Newman
2013,Best Song Written For Visual Media,Skyfall,Adele Adkins
2013,Best Instrumental Composition,Pensamientos For Solo Alto Saxophone And Chamber Orchestra,Clare Fischer
2013,Best Instrumental Arrangement,On Green Dolphin Street,Gordon Goodwin
2013,Best Instrumental Arrangement Accompanying Vocalist(s),Swing Low,Gil Goldstein
2013,"Best Remixed Recording, Non-Classical",Summertime Sadness (Cedric Gervais Remix),Cedric Gervais
2013,Best Orchestral Performance,Sibelius: Symphonies Nos. 1 & 4,Osmo Vänskä
2013,Best Opera Recording,Adès: The Tempest,Thomas Adès
2013,Best Choral Performance,Pärt: Adam's Lament,Tõnu Kaljuste
2013,Best Chamber Music/Small Ensemble Performance,Roomful Of Teeth,Jesse Lewis
2013,Best Classical Instrumental Solo,Corigliano: Conjurer - Concerto For Percussionist & String Orchestra,Evelyn Glennie
2013,Best Classical Vocal Solo,Winter Morning Walks,Dawn Upshaw
2013,Best Classical Compendium,Hindemith: Violinkonzert; Symphonic Metamorphosis; Konzertmusik,Christoph Eschenbach
2013,Best Contemporary Classical Composition,"Schneider, Maria: Winter Morning Walks",Maria Schneider
2013,Best Music Film,Live Kisses,Paul McCartney
2013,Best Music Film,The Road To Red Rocks,Nicolas Jack Davies
2012,Record Of The Year,Somebody That I Used To Know,Gotye
2012,Song Of The Year,We Are Young,Jack Antonoff
2012,Best Pop Solo Performance,Set Fire To The Rain [Live],Adele
2012,Best Pop Duo/Group Performance,Somebody That I Used To Know,Gotye
2012,Best Dance Recording,Bangarang,Sirah Mitchell
2012,Best Rock Performance,Lonely Boy,The Black Keys
2012,Best Hard Rock/Metal Performance,Love Bites (So Do I),Halestorm
2012,Best Rock Song,Lonely Boy,Dan Auerbach
2012,Best R&B Performance,Climax,Usher
2012,Best Traditional R&B Performance,Love On Top,Beyoncé
2012,Best R&B Song,Adorn,Miguel Jontel Pimentel
2012,Best Rap Performance,N****s In Paris,Jay-Z
2012,Best Rap/Sung Collaboration,No Church In The Wild,Jay-Z
2012,Best Rap Song,N****s In Paris,Mike Dean
2012,Best Country Solo Performance,Blown Away,Carrie Underwood
2012,Best Country Duo/Group Performance,Pontoon,Little Big Town
2012,Best Country Song,Blown Away,Josh Kear
2012,Best Improvised Jazz Solo,Hot House,Gary Burton
2012,Best Gospel/Contemporary Christian Music Performance,"10,000 Reasons (Bless The Lord)",Matt Redman
2012,Best Gospel Song,Go Get It,Erica Campbell
2012,Best Contemporary Christian Music Song,"10,000 Reasons (Bless The Lord)",Jonas Myrin
2012,Best Contemporary Christian Music Song,Your Presence Is Heaven,Israel Houghton
2012,Best Compilation Soundtrack For Visual Media,Midnight In Paris,Woody Allen
2012,Best Score Soundtrack For Visual Media,The Girl With The Dragon Tattoo,Trent Reznor
2012,Best Song Written For Visual Media,Safe & Sound (From The Hunger Games),T Bone Burnett
2012,Best Instrumental Composition,Mozart Goes Dancing,Chick Corea
2012,Best Instrumental Arrangement,How About You,Gil Evans
2012,Best Instrumental Arrangement Accompanying Vocalist(s),City Of Roses,Thara Memory
2012,"Best Remixed Recording, Non-Classical",Promises (Skrillex & Nero Remix),Joseph Ray
2012,Best Orchestral Performance,Adams: Harmonielehre & Short Ride In A Fast Machine,Michael Tilson Thomas
2012,Best Opera Recording,Wagner: Der Ring Des Nibelungen,James Levine
2012,Best Choral Performance,Life & Breath - Choral Works By René Clausen,Charles Bruffy
2012,Best Chamber Music/Small Ensemble Performance,Meanwhile,Eighth Blackbird
2012,Best Classical Instrumental Solo,Kurtág & Ligeti: Music For Viola,Kim Kashkashian
2012,Best Classical Vocal Solo,Poèmes,Renée Fleming
2012,Best Classical Compendium,Penderecki: Fonogrammi; Horn Concerto; Partita; The Awakening Of Jacob; Anaklasis,Antoni Wit
2012,Best Contemporary Classical Composition,"Hartke, Stephen: Meanwhile - Incidental Music To Imaginary Puppet Plays",Stephen Hartke
2011,Record Of The Year,Rolling In The Deep,Adele
2011,Song Of The Year,Rolling In The Deep,Adele
2011,Best Pop Solo Performance,Someone Like You,Adele
2011,Best Pop Duo/Group Performance,Body And Soul,Amy Winehouse
2011,Best Dance Recording,Scary Monsters And Nice Sprites,Skrillex
2011,Best Rock Performance,Walk,Foo Fighters
2011,Best Hard Rock/Metal Performance,White Limo,Foo Fighters
2011,Best Rock Song,Walk,Chris Shiflett
2011,Best R&B Performance,Is This Love,Corinne Bailey Rae
2011,Best Traditional R&B Performance,Fool For You,Cee Lo Green
2011,Best R&B Song,Fool For You,Cee Lo Green
2011,Best Rap Performance,Otis,Jay-Z
2011,Best Rap/Sung Collaboration,All Of The Lights,Fergie
2011,Best Rap Song,All Of The Lights,Jeff Bhasker
2011,Best Country Solo Performance,Mean,Taylor Swift
2011,Best Country Duo/Group Performance,Barton Hollow,The Civil Wars
2011,Best Country Song,Mean,Taylor Swift
2011,Best Improvised Jazz Solo,500 Miles High,Chick Corea
2011,Best Gospel/Contemporary Christian Music Performance,Jesus,Le'Andria Johnson
2011,Best Gospel Song,Hello Fear,Kirk Franklin
2011,Best Contemporary Christian Music Song,Blessings,Laura Story
2011,Best Compilation Soundtrack For Visual Media,Boardwalk Empire: Volume 1,Kevin Weaver
2011,Best Score Soundtrack For Visual Media,The King's Speech,Alexandre Desplat
2011,Best Song Written For Visual Media,I See The Light (From Tangled),Alan Menken
2011,Best Instrumental Composition,Life In Eleven,Béla Fleck
2011,Best Instrumental Arrangement,Rhapsody In Blue,Gordon L. Goodwin
2011,Best Instrumental Arrangement Accompanying Vocalist(s),Who Can I Turn To (When Nobody Needs Me),Jorge Calandrelli
2011,"Best Remixed Recording, Non-Classical",Cinema (Skrillex Remix),Skrillex
2011,Best Orchestral Performance,Brahms: Symphony No. 4,Gustavo Dudamel
2011,Best Opera Recording,Adams: Doctor Atomic,Alan Gilbert
2011,Best Choral Performance,Light & Gold,Eric Whitacre
2011,Best Small Ensemble Performance,Mackey: Lonely Motel - Music From Slide,Rinde Eckert
2011,Best Classical Instrumental Solo,Schwantner: Concerto For Percussion & Orchestra,Giancarlo Guerrero
2011,Best Classical Vocal Solo,Diva Divo,Joyce DiDonato
2011,Best Contemporary Classical Composition,"Aldridge, Robert: Elmer Gantry",Herschel Garfein
2010,Record Of The Year,Need You Now,Lady Antebellum
2010,Song Of The Year,Need You Now,Charles Kelley
2010,Best Female Pop Vocal Performance,Bad Romance,Lady Gaga
2010,Best Male Pop Vocal Performance,Just The Way You Are,Bruno Mars.
2010,Best Pop Performance By A Duo Or Group With Vocals,"Hey, Soul Sister (Live)",Train
2010,Best Pop Collaboration With Vocals,Imagine,Herbie Hancock
2010,Best Pop Instrumental Performance,Nessun Dorma,Jeff Beck 
2010,Best Dance Recording,Only Girl (In The World),Rihanna
2010,Best Solo Rock Vocal Performance,Helter Skelter,Paul McCartney
2010,Best Rock Performance By A Duo Or Group With Vocals,Tighten Up,The Black Keys
2010,Best Hard Rock Performance,New Fang,Them Crooked Vultures
2010,Best Metal Performance,El Dorado,Iron Maiden
2010,Best Rock Instrumental Performance,Hammerhead,Jeff Beck 
2010,Best Rock Song,Angry World,Neil Young
2010,Best Female R&B Vocal Performance,Bittersweet,Fantasia
2010,Best Male R&B Vocal Performance,There Goes My Baby,Usher
2010,Best R&B Performance By A Duo Or Group With Vocals,Soldier Of Love,Sade
2010,Best Traditional R&B Vocal Performance,Hang On In There,John Legend
2010,Best Urban/Alternative Performance,F*** You,Cee Lo Green.
2010,Best R&B Song,Shine,John Legend
2010,Best Rap Solo Performance,Not Afraid,Eminem
2010,Best Rap Performance By A Duo Or Group,On To The Next One,Jay-Z
2010,Best Rap/Sung Collaboration,Empire State Of Mind,Alicia Keys
2010,Best Rap Song,Empire State Of Mind,Alexander Shuckburgh
2010,Best Female Country Vocal Performance,The House That Built Me,Miranda Lambert
2010,Best Male Country Vocal Performance,'Til Summer Comes Around,Keith Urban
2010,Best Country Performance By A Duo Or Group With Vocals,Need You Now,Lady Antebellum
2010,Best Country Collaboration With Vocals,As She's Walking Away,Alan Jackson
2010,Best Country Instrumental Performance,Hummingbyrd,Marty Stuart
2010,Best Country Song,Need You Now,Charles Kelley
2010,Best Improvised Jazz Solo,A Change Is Gonna Come,Herbie Hancock
2010,Best Gospel Performance,Grace,BeBe Winans
2010,Best Gospel Song,It's What I Do,Jerry Peters
2010,"Best Song Written For Motion Picture, Television Or Other Visual Media",The Weary Kind (From Crazy Heart),Ryan Bingham
2010,Best Instrumental Composition,The Path Among The Trees,Billy Childs
2010,Best Instrumental Arrangement,Carlos,Vincent Mendoza
2010,Best Instrumental Arrangement Accompanying Vocalist(s),Baba Yetu,Christopher Tin
2010,"Best Remixed Recording, Non-Classical",Revolver (David Guetta's One Love Club Remix),Afrojack
2010,Best Orchestral Performance,Daugherty: Metropolis Symphony; Deus Ex Machina,Giancarlo Guerrero
2010,Best Opera Recording,Saariaho: L'Amour De Loin,Kent Nagano
