,Rank,RankPowerlaw,Artist_x,Title,Year,SpotifyPlayCount,WikiWordCount,Yeargetawards,Awards,Artist_y,Awardscore
522,11,20.54380234,Barbra Streisand,People,1964,1096736,9030,1964,Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),Peter Matz,1
906,5,34.56844127,The Rascals,People,1968,600612,2093,1964,Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),Peter Matz,1
924,5,34.56844127,Sly and The Family Stone,People,1969,49029109,4729,1964,Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),Peter Matz,1
1023,79,5.59198657,Joe South,People,1969,1685229,1107,1964,Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),Peter Matz,1
345,60,6.705330284,Henry Mancini,Moon River,1962,2813365,2486,1961,Best Arrangement,Henry Mancini,1
825,3,48.42838339,Bobby Gentry,Ode To Billie Joe,1967,170998,1880,1967,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Jimmie Haskell,1
107,34,9.754924552,Jackie Wilson,Strangers In The Night,1960,81660,4542,1966,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Ernie Freeman,1
740,15,16.74093727,Frank Sinatra,Strangers In The Night,1966,21956408,15799,1966,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Ernie Freeman,1
198,8,25.34898699,The String-A-Longs,Spinning Wheel,1961,254594,352,1969,Best Arrangement Accompanying Vocalist(s),Fred Lipsius,1
997,27,11.35794904,"Blood, Sweat and Tears",Spinning Wheel,1969,4195660,940,1969,Best Arrangement Accompanying Vocalist(s),Fred Lipsius,1
348,48,7.769280177,Henry Mancini,Days Of Wine And Roses,1963,286425,2486,1963,Best Background Arrangement,Henry Mancini,1
805,80,5.545754095,The Shadows Of Knight,Stravinsky: Symphony Of Psalms/Poulenc: Gloria,1966,880067,1856,1965,Best Classical Choral Performance (Other Than Opera),Robert Shaw,1
944,39,8.910403258,The Crazy World Of Arthur Brown,Stravinsky: The Firebird Ballet,1968,2590197,1366,1962,Best Classical Performance - Orchestra,Igor Stravinsky,1
477,82,5.456106733,Allan Sherman,"Hello Mudduh, Hello Faddah",1963,445104,3735,1963,Best Comedy Performance,Allan Sherman,1
80,24,12.27610461,Frankie Avalon,Why Is There Air?,1960,378916,2080,1965,Best Comedy Performance,Bill Cosby,1
732,7,27.68441135,The Mamas and The Papas,"Monday, Monday",1966,16358219,5544,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",Mamas And The Papas,1
746,18,14.84294734,The New Vaudeville Band,Winchester Cathedral,1966,312103,415,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",New Vaudeville Band,1
639,36,9.393779234,Petula Clark,I Know A Place,1965,659236,4478,1965,Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental),Petula Clark,1
824,3,48.42838339,Bobby Gentry,Ode To Billie Joe,1967,170998,1880,1967,Best Contemporary Female Solo Vocal Performance,Bobbie Gentry,1
872,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,1967,Best Contemporary Group Performance (Vocal Or Instrumental),5th Dimension,1
988,15,16.74093727,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969,1011300,2486,1969,Best Contemporary Performance By A Chorus,Percy Faith Chorus,1
787,9,23.45308318,Simon and Garfunkel,Mrs. Robinson,1968,111152876,5561,1968,Best Contemporary Pop Performance - Vocal Duo Or Group,Simon And Garfunkel,1
