Rank,Title,Artist,SpotifyPlaycount,Year
1,Bridge over Troubled Water,Simon & Garfunkel,49545238,1970
2,(They Long to Be) Close to You,The Carpenters,20297180,1970
3,American Woman,The Guess Who,21647014,1970
4,Raindrops Keep Fallin' on My Head,B.J. Thomas,9569514,1970
5,War,Edwin Starr,34912312,1970
6,Ain't No Mountain High Enough,Diana Ross,13122406,1970
7,I'll Be There,The Jackson 5,22839909,1970
8,Get Ready,Rare Earth,3534977,1970
9,Let It Be,The Beatles,67852027,1970
10,Band of Gold,Freda Payne,2116753,1970
11,Mama Told Me (Not to Come),Three Dog Night,10155850,1970
12,Everything Is Beautiful,Ray Stevens,369448,1970
13,Make It with You,Bread,17677453,1970
14,Hitchin' a Ride,Vanity Fare,457504,1970
15,ABC,The Jackson 5,110723047,1970
16,The Love You Save,The Jackson 5,8301613,1970
17,Cracklin' Rosie,Neil Diamond,10686301,1970
18,Candida,Dawn,1039462,1970
19,Thank You (Falettinme Be Mice Elf Agin),Sly & the Family Stone,10940552,1970
20,Spill the Wine,Eric Burdon & War,6283239,1970
21,O-o-h Child,Five Stairsteps,49333645,1970
22,Spirit in the Sky,Norman Greenbaum,91214083,1970
23,Lay Down (Candles in the Rain),Melanie,980810,1970
24,Ball of Confusion (That's What the World Is Today),The Temptations,2974343,1970
25,Love on a Two-Way Street,The Moments,880651,1970
26,Which Way You Goin' Billy?,The Poppy Family,218005,1970
27,All Right Now,Free,26498080,1970
28,I Want You Back,The Jackson 5,176671482,1970
29,"Julie, Do Ya Love Me",Bobby Sherman,61739,1970
30,Green-Eyed Lady,Sugarloaf,1151450,1970
31,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,107498810,1970
32,Ride Captain Ride,Blues Image,1565796,1970
33,Venus,Shocking Blue,8508950,1970
34,Instant Karma!,John Lennon,5573994,1970
35,Patches,Clarence Carter,2423963,1970
36,Lookin' out My Back Door,Creedence Clearwater Revival,49306967,1970
37,Rainy Night in Georgia,Brook Benton,3775643,1970
38,Something's Burning,Kenny Rogers & The First Edition,224493,1970
39,Give Me Just a Little More Time,Chairmen of the Board,438271,1970
40,Love Grows (Where My Rosemary Goes),Edison Lighthouse,3393408,1970
41,The Long and Winding Road,The Beatles,17201233,1970
42,Snowbird,Anne Murray,2137407,1970
43,Reflections of My Life,Marmalade,752729,1970
44,Hey There Lonely Girl,Eddie Holman,1159731,1970
45,The Rapper,The Jaggerz,39771,1970
46,"He Ain't Heavy, He's My Brother",The Hollies,14778741,1970
47,"Tighter, Tighter",Alive N Kickin',271156,1970
48,Come and Get It,Badfinger,728761,1970
49,Cecilia,Simon & Garfunkel,60365800,1970
50,Love Land,Charles Wright & the Watts 103rd Street Rhythm Band,19463,1970
51,Turn Back the Hands of Time,Tyrone Davis,631734,1970
52,Lola,The Kinks,33062207,1970
53,In the Summertime,Mungo Jerry,28810420,1970
54,Indiana Wants Me,R. Dean Taylor,734914,1970
55,(I Know) I'm Losing You,Rare Earth,357574,1970
56,"Easy Come, Easy Go",Bobby Sherman,123843,1970
57,Express Yourself,Charles Wright & the Watts 103rd Street Rhythm Band,12393576,1970
58,Still Water (Love),The Four Tops,1591788,1970
59,Make Me Smile,Chicago,1259552,1970
60,The House of the Rising Sun,Frijid Pink,5575,1970
61,25 or 6 to 4,Chicago,17007382,1970
62,My Baby Loves Lovin',White Plains,239484,1970
63,Love or Let Me Be Lonely,The Friends of Distinction,387293,1970
64,United We Stand,The Brotherhood of Man,47508,1970
65,We've Only Just Begun,The Carpenters,12925752,1970
66,Arizona,Mark Lindsay,191038,1970
67,Fire and Rain,James Taylor,48064184,1970
68,Groovy Situation,Gene Chandler,139090,1970
69,Evil Ways,Santana,9661808,1970
70,No Time,The Guess Who,2276889,1970
71,Didn't I (Blow Your Mind This Time),The Delfonics,10757768,1970
72,The Wonder of You,Elvis Presley,2952528,1970
73,Up Around the Bend,Creedence Clearwater Revival,44854405,1970
74,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,51114,1970
75,I Just Can't Help Believing,B.J. Thomas,153495,1970
76,It's a Shame,The Spinners,13152052,1970
77,For the Love of Him,Bobbi Martin,31165,1970
78,Mississippi Queen,Mountain,30328827,1970
79,I Want to Take You Higher,Ike & Tina Turner,368211,1970
80,The Letter,Joe Cocker,1934996,1970
81,Ma Belle Amie,Tee Set,201809,1970
82,The Bells,The Originals,419773,1970
83,Yellow River,Christie,2396168,1970
84,Somebody's Been Sleeping,100 Proof (Aged in Soul),88462,1970
85,Vehicle,The Ides of March,2260938,1970
86,Gimme Dat Ding,The Pipkins,362617,1970
87,Lay a Little Lovin' on Me,Robin McNamara,11743,1970
88,Up the Ladder to the Roof,The Supremes,974951,1970
89,Travelin' Band,Creedence Clearwater Revival,13287122,1970
90,Come Saturday Morning,The Sandpipers,4551,1970
91,Psychedelic Shack,The Temptations,767274,1970
92,Without Love (There Is Nothing),Tom Jones,810068,1970
93,Are You Ready?,Pacific Gas & Electric,482627,1970
94,Woodstock,"Crosby, Stills, Nash & Young",3956771,1970
95,I'll Never Fall in Love Again,Dionne Warwick,3855433,1970
96,Look What They've Done to My Song Ma,The New Seekers,25016,1970
97,Walk A Mile In My Shoes,Joe South,152266,1970
98,The Thrill Is Gone,B.B. King,19248459,1970
99,It's Only Make Believe,Glen Campbell,550383,1970
100,Call Me,Aretha Franklin,1559503,1970
1,Joy to the World,Three Dog Night,11106350,1971
2,"Maggie May/""Reason to Believe""",Rod Stewart,51632746,1971
3,"It's Too Late/""I Feel the Earth Move""",Carole King,23531112,1971
4,One Bad Apple,The Osmonds,692153,1971
5,How Can You Mend a Broken Heart,Bee Gees,6808250,1971
6,Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & the Raiders,1134985,1971
7,Go Away Little Girl,Donny Osmond,520494,1971
8,"Take Me Home, Country Roads",John Denver,50466251,1971
9,Just My Imagination (Running Away with Me),The Temptations,15934864,1971
10,Knock Three Times,Tony Orlando and Dawn,117533,1971
11,Me and Bobby McGee,Janis Joplin,41811564,1971
12,Tired of Being Alone,Al Green,28072351,1971
13,Want Ads,Honey Cone,366958,1971
14,Smiling Faces Sometimes,The Undisputed Truth,6304677,1971
15,Treat Her Like a Lady,Cornelius Brothers & Sister Rose,953744,1971
16,You've Got a Friend,James Taylor,28231077,1971
