Artist,URL,WikiWordCount
Percy Faith,https://en.wikipedia.org/wiki/Percy_Faith,1180
Jim Reeves,https://en.wikipedia.org/wiki/Jim_Reeves,4240
The Everly Brothers,https://en.wikipedia.org/wiki/The_Everly_Brothers,4114
Johnny Preston,https://en.wikipedia.org/wiki/Johnny_Preston,444
Mark Dinning,https://en.wikipedia.org/wiki/Mark_Dinning,303
Brenda Lee,https://en.wikipedia.org/wiki/Brenda_Lee,2547
Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley,19546
Jimmy Jones,https://en.wikipedia.org/wiki/Jimmy_Jones_(singer),461
Chubby Checker,https://en.wikipedia.org/wiki/Chubby_Checker,1911
Connie Francis,https://en.wikipedia.org/wiki/Connie_Francis,4607
Bobby Rydell,https://en.wikipedia.org/wiki/Bobby_Rydell,1069
Brothers Four,https://en.wikipedia.org/wiki/The_Brothers_Four,693
Jack Scott,https://en.wikipedia.org/wiki/Jack_Scott_(singer),551
Marty Robbins,https://en.wikipedia.org/wiki/Marty_Robbins,1930
Hollywood Argyles,https://en.wikipedia.org/wiki/The_Hollywood_Argyles,564
Brian Hyland,https://en.wikipedia.org/wiki/Brian_Hyland,1193
Roy Orbison,https://en.wikipedia.org/wiki/Roy_Orbison,8655
Dion and The Belmonts,https://en.wikipedia.org/wiki/Dion_and_the_Belmonts,1659
Connie Stevens,https://en.wikipedia.org/wiki/Connie_Stevens,1205
Paul Anka,https://en.wikipedia.org/wiki/Paul_Anka,2526
Frankie Avalon,https://en.wikipedia.org/wiki/Frankie_Avalon,2080
The Ventures,https://en.wikipedia.org/wiki/The_Ventures,2678
The Drifters,https://en.wikipedia.org/wiki/The_Drifters,4140
Dinah Washington and Brook Benton,https://en.wikipedia.org/wiki/Dinah_Washington,1481
Johnny Horton,https://en.wikipedia.org/wiki/Johnny_Horton,1545
Sam Cooke,https://en.wikipedia.org/wiki/Sam_Cooke,2898
Bobby Darin,https://en.wikipedia.org/wiki/Bobby_Darin,3068
Jimmy Clanton,https://en.wikipedia.org/wiki/Jimmy_Clanton,565
Jackie Wilson,https://en.wikipedia.org/wiki/Jackie_Wilson,4544
