Artist
Percy Faith
Jim Reeves
The Everly Brothers
Johnny Preston
Mark Dinning
Brenda Lee
Elvis Presley
Jimmy Jones
Chubby Checker
Connie Francis
Bobby Rydell
Brothers Four
Jack Scott
Marty Robbins
Hollywood Argyles
Brian Hyland
Roy Orbison
Dion and The Belmonts
Connie Stevens
Paul Anka
Frankie Avalon
The Ventures
The Drifters
Dinah Washington and Brook Benton
Johnny Horton
Sam Cooke
Bobby Darin
Jimmy Clanton
Jackie Wilson
Toni Fisher
Duane Eddy
Conway Twitty
Steve Lawrence
Freddie Cannon
Anita Bryant
Larry Verne
Fendermen
Marv Johnson
Hank Locklin
Ron Holden
Hank Ballard and The Midnighters
Platters
Billy Bland
Jeanne Black
Ferrante and Teicher
Jimmy Charles
Andy Williams
The Browns
Bill Black's Combo
Bobby Vee
The Four Preps
The Little Dippers
The Safaris
Brook Benton
Donnie Brooks
Ray Peterson
Fats Domino
Neil Sedaka
Ray Charles
Skip and Flip
Spencer Ross
Lloyd Price
The Crests
Paul Evans
Ricky Nelson
Johnny Burnette
Johnny Tillotson
Annette Funicello
Joe Jones
Johnny and The Hurricanes
Bob Luman
Guy Mitchell
Barrett Strong
Maurice Williams and the Zodiacs
Charlie Rich
Larry Hall
Bobby Lewis
Patsy Cline
The Highwaymen
Del Shannon
The Jive Five
The String-A-Longs
Dee Clark
Joe Dowell
Lawrence Welk
The Shirelles
The Mar-Keys
Sue Thompson
Ernie K-Doe
The Dovells
The Miracles
Gene Mcdaniels
Dick and Dee Dee
Floyd Cramer
Gary U.S. Bonds
Barry Mann
Chris Kenner
Jorgen Ingmann
Linda Scott
Ferlin Husky
Marcels
Shep and The Limelites
Troy Shondell
"Clarence ""Frogman"" Henry"
Kokomo
Faron Young
Dion
Arthur Lyman
Timi Yuro
The Capris
The Paris Sisters
Lee Dorsey
Bob Moore
Ral Donner
The Lettermen
Pat Boone
Adam Wade
Carla Thomas
Ben E. King
Ike and Tina Turner
The Echoes
Buzz Clifford
Little Caesar and The Romans
Bert Kaempfert
Tony Orlando
Rosie and The Originals
Curtis Lee
Lonnie Donegan
Matt Monro
Jimmy Dean
Eddie Hodges
Dave Brubeck
Don Gibson
Acker Bilk
Dee Dee Sharp
Bobby Vinton
David Rose
Shelley Fabares
Little Eva
The Sensations
Bruce Channel
Gene Chandler
Freddy Cannon
Claude King
Mary Wells
Kenny Ball
Tommy Roe
The Orlons
Joey Dee and The Starliters
The Marvelettes
Nat King Cole
Jay and The Americans
Ketty Lester
Claudine Clark
Bent Fabric
The Isley Brothers
Richard Chamberlain
Ace Cannon
Clyde McPhatter
Barbara George
Burl Ives
Emilio Pericoli
Ernie Maresca
Don and Juan
The Corsairs
Booker T. and The M.G.'s
Frankie Valli and The Four Seasons
Joanie Sommers
"Dave ""Baby"" Cortez"
Henry Mancini
Ray Stevens
Gene Pitney
The Duprees
Joe Henderson
Chris Montez
Johnny Crawford
Barbara Lynn
The Crystals
Dickey Lee
Larry Finnegan
James Darren
Walter Brennan
Billy Vaughn
Billy Joe and The Checkmates
Jimmy Soul
Jimmy Smith
King Curtis
The Ikettes
The Kingston Trio
"Peter, Paul and Mary"
Ronnie and The Hi-lites
The Beach Boys
Jimmy Gilmer and The Fireballs
Skeeter Davis
The Cascades
The Chiffons
Paul and Paula
Stevie Wonder
The Village Stompers
The Impressions
The Angels
Kyu Sakamoto
Lesley Gore
The Tymes
Dale and Grace
Nino Tempo and April Stevens
The Surfaris
Al Martino
The Rockin' Rebels
Inez and Charlie Foxx
Little Peggy March
The Chantays
Jan and Dean
Eydie Gorme
Martha and The Vandellas
Randy and The Rainbows
The Rooftop Singers
Trini Lopez
The Essex
Los Indios Tabajaras
Ruby And The Romantics
Barbara Lewis
The Ronettes
Major Lance
The Four Seasons
Bill Anderson
Garnet Mimms and the Enchanters
Lou Christie
Lonnie Mack
Kai Winding
Bill Pursell
Tony Bennett
The Jaynetts
Marvin Gaye
Rufus Thomas
Ned Miller
Johnny Mathis
Jan Bradley
The Cookies
Johnny Cash
Doris Troy
Allan Sherman
Rolf Harris
Dixie Belles
Sunny and the Sunglows
Bobby Bare
The Beatles
Louis Armstrong
Dean Martin
Gale Garnett
J. Frank Wilson and the Cavaliers
The Supremes
Barbra Streisand
Al Hirt
Manfred Mann
Billy J. Kramer and The Dakotas
The Ray Charles Singers
The Dixie Cups
Terry Stafford
The Dave Clark Five
The Newbeats
Peter and Gordon
The Honeycombs
The Serendipity Singers
Betty Everett and Jerry Butler
Dusty Springfield
Dionne Warwick
The Animals
Ronny and the Daytonas
Johnny Rivers
Danny Williams
The Rip Chords
Betty Everett
Millie Small
Gerry and the Pacemakers
Chad and Jeremy
Stan Getz and Astrud Gilberto
The Shangri-Las
Bobby Freeman
The Four Tops
Diane Renay
The Bachelors
The Marketts
The Hondells
Bobby Goldsboro
The Reflections
The New Christy Minstrels
Joe Hinton
The Temptations
The Trashmen
The Tams
The Kinks
Sammy Davis Jr.
The Jelly Beans
Roger Miller
Nancy Wilson
The Kingsmen
The Searchers
Tommy Tucker
Robert Maxwell
Jumpin' Gene Simmons
Jimmy Hughes
Sam the Sham and the Pharaohs
Four Tops
The Rolling Stones
We Five
The Righteous Brothers
Petula Clark
Herman's Hermits
Jewel Akens
Mel Carter
Junior Walker and the All Stars
Sonny and Cher
Gary Lewis and The Playboys
Ramsey Lewis Trio
The Seekers
The Byrds
Sounds Orchestral
Barbara Mason
Tom Jones
Barry McGuire
The McCoys
James Brown
Wayne Fontana and The Mindbenders
Shirley Ellis
Patti Page
Bob Dylan
Freddie and the Dreamers
Horst Jankowski
The Yardbirds
The Moody Blues
Shirley Bassey
Billy Joe Royal
Glenn Yarbrough
The Beau Brummels
Ian Whitcomb
Jackie DeShannon
Sir Douglas Quintet
The Turtles
The Zombies
Vic Dana
Patty Duke
The Fortunes
Joe Tex
The Lovin' Spoonful
Cher
Little Anthony and the Imperials
The Strangeloves
Sonny
Roy Head
Jack Jones
"Dino, Desi and Billy"
The Ad Libs
SSgt Barry Sadler
The Association
? and the Mysterians
The Monkees
The Mamas and The Papas
Roger Williams
Nancy Sinatra
Jimmy Ruffin
Frank Sinatra
The Young Rascals
The New Vaudeville Band
Tommy James and The Shondells
Percy Sledge
The Troggs
Paul Revere and The Raiders
Donovan
Bobby Hebb
The Happenings
Mitch Ryder and the Detroit Wheels
The Mindbenders
The Capitols
Sandy Posey
The Cyrkle
The Left Banke
The Outsiders
The Hollies
James and Bobby Purify
B. J. Thomas
The Standells
Bob Lind
Simon and Garfunkel
Robert Parker
Count Five
The T-Bones
Deon Jackson
Crispian St. Peters
Ray Conniff Singers
David Houston
Marvelettes
Neil Diamond
Lou Rawls
The Shadows Of Knight
The Sandpipers
Wilson Pickett
Shades Of Blue
Turtles
The Vogues
Los Bravos
Slim Harpo
Bobby Fuller Four
Herb Alpert and The Tijuana Brass
Lulu
The Box Tops
Bobby Gentry
The Doors
Frank and Nancy Sinatra
Frankie Valli
The Music Explosion
Aretha Franklin
Bobby Vee and The Strangers
The Buckinghams
Arthur Conley
The Soul Survivors
Sam and Dave
Jay and The Techniques
Every Mothers' Son
Strawberry Alarm Clock
Vicki Carr
Brenton Wood
Buffalo Springfield
Engelbert Humperdinck
Marvin Gaye and Tammi Terrell
Jefferson Airplane
The Esquires
Van Morrison
Procol Harum
The Casinos
The Tremeloes
Ed Ames
The 5th Dimension
Scott Mckenzie
The Cowsills
Five Americans
Blue Magoos
The Easybeats
The Bar-Kays
The Spencer Davis Group
The Hombres
The Grass Roots
Peaches and Herb
Aaron Neville
James Brown and The Famous Flames
Keith
The Royal Guardsmen
Janis Ian
Robert Knight
Bill Cosby
The Electric Prunes
The Who
Paul Mauriat
Otis Redding
The Rascals
Cream
Herb Alpert
Hugo Montenegro
Archie Bell and The Drells
Jeannie C. Riley
O.C. Smith
Gary Puckett and The Union Gap
Hugh Masekela
Sly and The Family Stone
Cliff Nobles
The Delfonics
John Fred and His Playboy Band
Classics IV
Merrilee Rush
Georgie Fame
Mary Hopkin
Steppenwolf
The Intruders
1910 Fruitgum Company
Sergio Mendes and Brasil '66
Johnny Nash
Ohio Express
The Crazy World Of Arthur Brown
Troggs
Gene and Debbe
Mason Williams
Clarence Carter
The O'Kaysions
The Lemon Pipers
Friend and Lover
Richard Harris
Jose Feliciano
Status Quo
Blue Cheer
The Bee Gees
The Fireballs
The Dells
Willie Mitchell
The Human Beinz
Tommy Boyce and Bobby Hart
The Irish Rovers
Vanilla Fudge
The Foundations
The Sweet Inspirations
Smokey Robinson and The Miracles
The Mills Brothers
The Chambers Brothers
Shorty Long
Big Brother and The Holding Company
Creedence Clearwater Revival
The American Breed
Jerry Butler
The Archies
Three Dog Night
Henry Mancini and His Orch.
The Youngbloods
The Friends Of Distinction
Jr. Walker and The All Stars
Oliver
The Beatles with Billy Preston
Zager and Evans
"Blood, Sweat and Tears"
Andy Kim
Smith
Zombies
Bobby Sherman
Mercy
The Guess Who
Watts 103rd Street Rhythm Band
Spiral Starecase
Cass Elliot
Glen Campbell
Tyrone Davis
The Winstons
"Sonny Charles and The Checkmates, Ltd."
Edwin Starr
New Colony Six
Motherlode
Harry Nilsson
Brooklyn Bridge
Joe Simon
The Flying Machine
Tony Joe White
Kenny Rogers and The First Edition
Joe South
The Cuff Links
Bob Seger System
Diana Ross and The Supremes and The Temptations
Crazy Elephant
The Originals
Edwin Hawkins Singers
David Ruffin
