Artist,URL,WikiWordCount,external_urls,followers,genres,href,id,images,name,popularity,type,uri
Percy Faith,https://en.wikipedia.org/wiki/Percy_Faith,1180.0,https://open.spotify.com/artist/24DQLSng7bKZD4GXLIaQbv,9877,adult standards|ballroom|christmas|easy listening|lounge|operatic pop|romantico,https://api.spotify.com/v1/artists/24DQLSng7bKZD4GXLIaQbv,24DQLSng7bKZD4GXLIaQbv,https://i.scdn.co/image/456ca5cb1d48fd128c84930e73e40df31f608d54,,52,artist,spotify:artist:24DQLSng7bKZD4GXLIaQbv
Jim Reeves,https://en.wikipedia.org/wiki/Jim_Reeves,4240.0,https://open.spotify.com/artist/2Ev0e8GUIX4u7d9etNLTXg,59717,adult standards|brill building pop|christmas|country christmas|country gospel|cowboy western|nashville sound|rock-and-roll|traditional country,https://api.spotify.com/v1/artists/2Ev0e8GUIX4u7d9etNLTXg,2Ev0e8GUIX4u7d9etNLTXg,https://i.scdn.co/image/c468dc2d0379b7aca482c0dbd33ee7d5ace831c3,,59,artist,spotify:artist:2Ev0e8GUIX4u7d9etNLTXg
The Everly Brothers,https://en.wikipedia.org/wiki/The_Everly_Brothers,4114.0,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,120725,adult standards|brill building pop|bubblegum pop|christmas|folk rock|mellow gold|motown|nashville sound|rock-and-roll|rockabilly|traditional country,https://api.spotify.com/v1/artists/4ACplpEqD6JIVgKrafauzs,4ACplpEqD6JIVgKrafauzs,https://i.scdn.co/image/143996e5147b6767719a60163488e342b3fc2efe,,63,artist,spotify:artist:4ACplpEqD6JIVgKrafauzs
Johnny Preston,https://en.wikipedia.org/wiki/Johnny_Preston,444.0,https://open.spotify.com/artist/1B8n8vtEeexQ5NKehHTkeo,2592,brill building pop|doo-wop|merseybeat|rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/1B8n8vtEeexQ5NKehHTkeo,1B8n8vtEeexQ5NKehHTkeo,https://i.scdn.co/image/9d3878ffa07eb8408cdd77856212dfc2640b8e38,,38,artist,spotify:artist:1B8n8vtEeexQ5NKehHTkeo
Mark Dinning,https://en.wikipedia.org/wiki/Mark_Dinning,303.0,https://open.spotify.com/artist/55Rf9Kfqd30nmqaeEDMpic,412,doo-wop,https://api.spotify.com/v1/artists/55Rf9Kfqd30nmqaeEDMpic,55Rf9Kfqd30nmqaeEDMpic,https://i.scdn.co/image/a0751bd0e4b6123f1d2be799deb0bd32b442f46e,,34,artist,spotify:artist:55Rf9Kfqd30nmqaeEDMpic
Brenda Lee,https://en.wikipedia.org/wiki/Brenda_Lee,2547.0,https://open.spotify.com/artist/4cPHsZM98sKzmV26wlwD2W,56596,adult standards|brill building pop|bubblegum pop|christmas|country christmas|cowboy western|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly|traditional country|vocal jazz,https://api.spotify.com/v1/artists/4cPHsZM98sKzmV26wlwD2W,4cPHsZM98sKzmV26wlwD2W,https://i.scdn.co/image/89b621a2e71bab75d221c6125cab4d257db8abdf,,72,artist,spotify:artist:4cPHsZM98sKzmV26wlwD2W
Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley,19546.0,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,1736017,christmas|rock|rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/43ZHCT0cAZBISjO8DG9PnE,43ZHCT0cAZBISjO8DG9PnE,https://i.scdn.co/image/160c941240375cecbdebfe61033e59783c5172ab,,83,artist,spotify:artist:43ZHCT0cAZBISjO8DG9PnE
Jimmy Jones,https://en.wikipedia.org/wiki/Jimmy_Jones_(singer),461.0,https://open.spotify.com/artist/7ydcRbgt0yM9etADb1Ackp,1585,bmore|brill building pop|doo-wop|merseybeat|rock-and-roll,https://api.spotify.com/v1/artists/7ydcRbgt0yM9etADb1Ackp,7ydcRbgt0yM9etADb1Ackp,https://i.scdn.co/image/73c64f42ead40dd5eb1d543323ec37c68dbd8303,,48,artist,spotify:artist:7ydcRbgt0yM9etADb1Ackp
Chubby Checker,https://en.wikipedia.org/wiki/Chubby_Checker,1911.0,https://open.spotify.com/artist/7qQJQ3YtcGlqaLg5tcypN2,53283,adult standards|brill building pop|bubblegum pop|christmas|doo-wop|merseybeat|motown|rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/7qQJQ3YtcGlqaLg5tcypN2,7qQJQ3YtcGlqaLg5tcypN2,https://i.scdn.co/image/4b719e0ecea3eb92d294b838db79874318f35da1,,56,artist,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2
Connie Francis,https://en.wikipedia.org/wiki/Connie_Francis,4607.0,https://open.spotify.com/artist/3EY5DxGdy7x4GelivOjS2Q,58984,adult standards|brill building pop|bubblegum pop|cabaret|christmas|doo-wop|easy listening|lounge|merseybeat|nashville sound|rock-and-roll|rockabilly,https://api.spotify.com/v1/artists/3EY5DxGdy7x4GelivOjS2Q,3EY5DxGdy7x4GelivOjS2Q,https://i.scdn.co/image/8bdcb1cc65a0ca1d54018e308bd2471e9c4820ce,,57,artist,spotify:artist:3EY5DxGdy7x4GelivOjS2Q
