Artist,WikiWordCount
Percy Faith,1180
Jim Reeves,4240
The Everly Brothers,4114
Johnny Preston,444
Mark Dinning,303
Brenda Lee,2547
Elvis Presley,19509
Jimmy Jones,461
Chubby Checker,1911
Connie Francis,4607
Bobby Rydell,1069
Brothers Four,693
Jack Scott,551
Marty Robbins,1930
Hollywood Argyles,564
Brian Hyland,1193
Roy Orbison,8654
Dion and The Belmonts,1659
Connie Stevens,1189
Paul Anka,2526
Frankie Avalon,2080
The Ventures,2678
The Drifters,4140
Dinah Washington and Brook Benton,1481
Johnny Horton,1545
Sam Cooke,2895
Bobby Darin,3031
Jimmy Clanton,565
Jackie Wilson,4542
Toni Fisher,339
Duane Eddy,1636
Conway Twitty,3103
Steve Lawrence,1304
Freddie Cannon,1289
Anita Bryant,2722
Larry Verne,163
Fendermen,230
Marv Johnson,1131
Hank Locklin,601
Ron Holden,391
Hank Ballard and The Midnighters,825
Platters,2324
Billy Bland,265
Jeanne Black,234
Ferrante and Teicher,1231
Jimmy Charles,334
Andy Williams,3980
The Browns,707
Bill Black's Combo,2017
Bobby Vee,1614
The Four Preps,951
The Little Dippers,193
The Safaris,125
Brook Benton,708
Donnie Brooks,607
Ray Peterson,527
Fats Domino,3326
Neil Sedaka,7962
Ray Charles,6315
Skip and Flip,429
Spencer Ross,271
Lloyd Price,1034
The Crests,1838
Paul Evans,336
Ricky Nelson,4885
Johnny Burnette,2915
Johnny Tillotson,1278
Annette Funicello,2449
Joe Jones,420
Johnny and The Hurricanes,708
Bob Luman,651
Guy Mitchell,604
Barrett Strong,758
Maurice Williams and the Zodiacs,790
Charlie Rich,2214
Larry Hall,326
Bobby Lewis,220
Patsy Cline,8503
The Highwaymen,1027
Del Shannon,2195
The Jive Five,807
The String-A-Longs,352
Dee Clark,651
Joe Dowell,295
Lawrence Welk,3370
The Shirelles,2186
The Mar-Keys,1102
Sue Thompson,547
Ernie K-Doe,811
The Dovells,591
The Miracles,5609
Gene Mcdaniels,909
Dick and Dee Dee,1038
Floyd Cramer,964
Gary U.S. Bonds,753
Barry Mann,737
Chris Kenner,391
Jorgen Ingmann,524
Linda Scott,577
Ferlin Husky,1059
Marcels,302
Shep and The Limelites,511
Troy Shondell,793
"Clarence ""Frogman"" Henry",553
Kokomo,751
Faron Young,1732
Dion,3245
Arthur Lyman,1800
Timi Yuro,1329
The Capris,562
The Paris Sisters,315
Lee Dorsey,752
Bob Moore,611
Ral Donner,411
The Lettermen,1932
Pat Boone,4138
Adam Wade,531
Carla Thomas,1161
Ben E. King,1450
Ike and Tina Turner,3574
The Echoes,2474
Buzz Clifford,544
Little Caesar and The Romans,346
Bert Kaempfert,2099
Tony Orlando,2129
Rosie and The Originals,827
Curtis Lee,1956
Lonnie Donegan,2450
