				playcount	new_rank
34	Rooftop Singers	Walk Right In	1963	1048770	
35	Jimmy Soul	If You Wanna Be HappyIf You Wanna Be Happy	1963	2485964	
36	Beach Boys	Surfer Girl	1963	6457598	
37	Trini Lopez	If I Had A Hammer	1963	975647	
38	Tommy Roe	Everybody	1963	21660	
39	Essex	Easier Said Than Done	1963	11101	
40	Dion	Ruby Baby	1963	541039	
41	Los Indios Tabajaras	Maria Elena	1963	1207317	
42	Ruby and The Romantics	Our Day Will Come	1963	634923	
43	Skeeter Davis	I Can't Stay Mad At You	1963	283035	
44	Barbara Lewis	"Hello, Stranger"	1963	2429382	
45	Ronettes	Be My Baby	1963	56249804	
46	Roy Orbison	Mean Woman Blues	1963	1000	
47	Orlons	South Street	1963	36247	
48	Henry Mancini	Days Of Wine And Roses	1963	286425	
49	Major Lance	The Monkey Time	1963	455979	
50	Four Seasons	Candy Girl	1963	1216330	
51	Bill Anderson	Still	1963	138980	
52	Bobby Vinton	Blue On Blue	1963	862958	
53	Garnet Mimms and The Enchanters	Cry Baby	1963	482015	
54	Lou Christie	Two Faces Have I	1963	17151	
55	Ray Charles	Busted	1963	NaN	
56	Crystals	Da Doo Ron Ron	1963	6562159	
57	Shirelles	Foolish Little Girl	1963	404775	
58	Lonnie Mack	Memphis	1963	51680	
59	Roy Orbison	In Dreams	1963	11402194	
60	Kai Winding	More	1963	111486	
61	Rick Nelson	Fools Rush In	1963	528037	
62	Brenda Lee	Losing You	1963	NaN	
63	Bill Pursell	Our Winter Love	1963	85268	
64	Tony Bennett	I Wanna Be Around	1963	657059	
65	Miracles	You've Really Got A Hold On Me	1963	3940869	
66	Jaynetts	Sally Go 'Round The Roses	1963	233859	
67	Sam Cooke	Little Red Rooster	1963	1246121	
68	Crystals	Then He Kissed Me	1963	18884086	
69	Elvis Presley	(You're The) Devil In Disguise	1963	16593049	
70	Nat King Cole	Those Lazy Hazy Crazy Days Of Summer	1963	555689	
71	Jackie Wilson	Baby Workout	1963	563065	
72	Marvin Gaye	Pride And Joy	1963	381571	
73	Rufus Thomas	Walking The Dog	1963	1566133	
74	Ned Miller	From A Jack To A King	1963	133653	
75	Drifters	Up On The Roof	1963	5920655	
76	Johnny Mathis	What Will My Mary Say	1963	190020	
77	Jan Bradley	Mama Didn't Lie	1963	237102	
78	Bobby Vee	The Night Has A Thousand Eyes	1963	2254109	
79	Cookies	Don't Say Nothin' Bad About My Baby	1963	127042	
80	Johnny Cash	Ring Of Fire	1963	84849162	
81	Doris Troy	Just One Look	1963	2024598	
82	Allan Sherman	"Hello Muddah, Hello Fadduh! (A Letter From Camp)"	1963	445104	
83	Lesley Gore	Judy's Turn To Cry	1963	515670	
84	Rolf Harris	"Tie Me Kangaroo Down, Sport"	1963	699358	
85	Miracles	Mickey's Monkey	1963	218185	
86	Dion	"Donna, The Prima Donna"	1963	723972	
87	Nat King Cole	"That Sunday, That Summer"	1963	248929	
88	Sam Cooke	Another Saturday Night	1963	5407127	
89	Al Martino	"Painted, Tainted Rose"	1963	14677	
90	Dixiebelles With Cornbread and Jerry	(Down At) Papa Joe's	1963	NaN	
91	Steve Lawrence	Go Away Little Girl	1963	208416	
92	Ray Charles	Take These Chains From My Heart	1963	NaN	
93	Sunny and The Sunglows	Talk To Me	1963	58419	
94	Martha and The Vandellas	Come And Get These Memories	1963	447078	
95	Elvis Presley	Bossa Nova Baby	1963	1003366	
96	Dee Dee Sharp	Do The Bird	1963	54532	
97	Beach Boys	Shut Down	1963	1066953	
98	Chiffons	One Fine Day	1963	12190738	
99	Bobby Bare	500 Miles Away From Home	1963	2379488	
100	Del Shannon	Little Town Flirt	1963	367176	
1	Beatles	I Want To Hold Your Hand	1964	48975471	
2	Beatles	She Loves You	1964	28087844	
3	Louis Armstrong	"Hello, Dolly!"	1964	3378654	
4	Roy Orbison	"Oh, Pretty Woman"	1964	61232906	
5	Beach Boys	I Get Around	1964	36498083	
6	Dean Martin	Everybody Loves Somebody	1964	9620202	
7	Mary Wells	My Guy	1964	35289317	
8	Gale Garnett	We'll Sing In The Sunshine	1964	211353	
9	J. Frank Wilson and The Cavaliers	Last Kiss	1964	440810	
10	Supremes	Where Did Our Love Go	1964	22205872	
11	Barbara Streisand	People	1964	1096736	
12	Al Hirt	Java	1964	362090	
13	Beatles	A Hard Day's Night	1964	34734369	
14	Beatles	Love Me Do	1964	44061168	
15	Manfred Mann	Do Wah Diddy Diddy	1964	12837467	
16	Beatles	Please Please Me	1964	8599331	
17	Martha and The Vandellas	Dancing In The Street	1964	34044681	
18	Billy J. Kramer and The Dakotas	Little Children	1964	480702	
19	Ray Charles Singers	Love Me With All Your Heart	1964	11797	
20	Drifters	Under The Boardwalk	1964	26552965	
21	Dixie Cups	Chapel Of Love	1964	6887338	
22	Terry Stafford	Suspicion	1964	747126	
23	Dave Clark Five	Glad All Over	1964	NaN	
24	Four Seasons	Rag Doll	1964	3712082	
25	Four Seasons	Dawn (Go Away)	1964	NaN	
26	Newbeats	Bread And Butter	1964	469577	
27	Gene Pitney	It Hurts To Be In Love	1964	167640	
28	Jan and Dean	Dead Man's Curve	1964	524590	
29	Jay and The Americans	Come A Little Bit Closer	1964	14422507	
30	Peter and Gordon	A World Without Love	1964	2782696	
31	Honeycombs	Have I The Right?	1964	1006483	
32	Serendipity Singers	Don't Let The Rain Come Down (Crooked Little Man)	1964	32585	
33	Supremes	Baby Love	1964	44450809	
