Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,URL,WikiWordCount,external_urls,followers,genres,popularity
1,100.0,Percy Faith,"Theme From ""A Summer Place""",1960,5001152,https://en.wikipedia.org/wiki/Percy_Faith,1180.0,https://open.spotify.com/artist/24DQLSng7bKZD4GXLIaQbv,9877.0,adult standards|ballroom|christmas|easy listening|lounge|operatic pop|romantico,52.0
2,63.2878297,Jim Reeves,He'll Have To Go,1960,4377343,https://en.wikipedia.org/wiki/Jim_Reeves,4240.0,https://open.spotify.com/artist/2Ev0e8GUIX4u7d9etNLTXg,59717.0,adult standards|brill building pop|christmas|country christmas|country gospel|cowboy western|nashville sound|rock-and-roll|traditional country,59.0
3,48.42838339,The Everly Brothers,Cathy's Clown,1960,4180758,https://en.wikipedia.org/wiki/The_Everly_Brothers,4114.0,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,120725.0,adult standards|brill building pop|bubblegum pop|christmas|folk rock|mellow gold|motown|nashville sound|rock-and-roll|rockabilly|traditional country,63.0
30,10.59497587,The Everly Brothers,Let It Be Me,1960,697716,https://en.wikipedia.org/wiki/The_Everly_Brothers,4114.0,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,120725.0,adult standards|brill building pop|bubblegum pop|christmas|folk rock|mellow gold|motown|nashville sound|rock-and-roll|rockabilly|traditional country,63.0
70,6.056689273,The Everly Brothers,So Sad,1960,804269,https://en.wikipedia.org/wiki/The_Everly_Brothers,4114.0,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,120725.0,adult standards|brill building pop|bubblegum pop|christmas|folk rock|mellow gold|motown|nashville sound|rock-and-roll|rockabilly|traditional country,63.0
91,5.093692001,The Everly Brothers,When Will I Be Loved,1960,508098,https://en.wikipedia.org/wiki/The_Everly_Brothers,4114.0,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,120725.0,adult standards|brill building pop|bubblegum pop|christmas|folk rock|mellow gold|motown|nashville sound|rock-and-roll|rockabilly|traditional country,63.0
57,6.9362157810000005,The Everly Brothers,Walk Right Back,1961,2192314,https://en.wikipedia.org/wiki/The_Everly_Brothers,4114.0,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,120725.0,adult standards|brill building pop|bubblegum pop|christmas|folk rock|mellow gold|motown|nashville sound|rock-and-roll|rockabilly|traditional country,63.0
47,7.877989792999999,The Everly Brothers,Crying In The Rain,1962,3014478,https://en.wikipedia.org/wiki/The_Everly_Brothers,4114.0,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,120725.0,adult standards|brill building pop|bubblegum pop|christmas|folk rock|mellow gold|motown|nashville sound|rock-and-roll|rockabilly|traditional country,63.0
4,40.05349388,Johnny Preston,Running Bear,1960,1444980,https://en.wikipedia.org/wiki/Johnny_Preston,444.0,https://open.spotify.com/artist/1B8n8vtEeexQ5NKehHTkeo,2592.0,brill building pop|doo-wop|merseybeat|rock-and-roll|rockabilly,38.0
45,8.107365283,Johnny Preston,Cradle Of Love,1960,232921,https://en.wikipedia.org/wiki/Johnny_Preston,444.0,https://open.spotify.com/artist/1B8n8vtEeexQ5NKehHTkeo,2592.0,brill building pop|doo-wop|merseybeat|rock-and-roll|rockabilly,38.0
