Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,GenreRaw,Tar-Pre
1,100.0,Percy Faith,"Theme From ""A Summer Place""",1960,5001152,1180,9877,52,easy listening,1.901440126820873
2,63.2878297,Jim Reeves,He'll Have To Go,1960,4377343,4240,59717,59,"country, pop",1.3272625424201312
3,48.42838339,The Everly Brothers,Cathy's Clown,1960,4180758,4114,120725,63,pop,0.9721796755253429
30,10.59497587,The Everly Brothers,Let It Be Me,1960,697716,4114,120725,63,pop,-0.8182560300915984
70,6.056689273,The Everly Brothers,So Sad,1960,804269,4114,120725,63,pop,-0.676134382931366
91,5.093692001,The Everly Brothers,When Will I Be Loved,1960,508098,4114,120725,63,country,-1.1353938309074039
57,6.9362157810000005,The Everly Brothers,Walk Right Back,1961,2192314,4114,120725,63,rock,0.20675292798582667
47,7.877989792999999,The Everly Brothers,Crying In The Rain,1962,3014478,4114,120725,63,rock,0.40533021711332573
4,40.05349388,Johnny Preston,Running Bear,1960,1444980,444,2592,38,,1.6914897180839805
45,8.107365283,Johnny Preston,Cradle Of Love,1960,232921,444,2592,38,rock and roll,-0.1336617012570187
5,34.56844127,Mark Dinning,Teen Angel,1960,436274,303,412,34,"pop, teenage tragedy song",0.7533399017013593
6,30.6492728,Brenda Lee,I'm Sorry,1960,3366175,2547,56596,72,"pop, country",-0.013298407297282822
18,14.84294734,Brenda Lee,Sweet Nothin's,1960,4478743,2547,56596,72,,0.27226693449211226
43,8.35431448,Brenda Lee,I Want To Be Wanted,1960,390100,2547,56596,72,pop,-2.1684276546771315
71,6.000251992999999,Brenda Lee,That's All You Gotta Do,1960,395052,2547,56596,72,rockabilly,-2.1558133693835178
91,5.093692001,Brenda Lee,Dum Dum,1961,320128,2547,56596,72,pop,-2.4860016401065437
93,5.021127552,Brenda Lee,You Can Depend On Me,1961,165193,2547,56596,72,,-3.147608068613877
26,11.64441273,Brenda Lee,Break It To Me Gently,1962,1564747,2547,56596,72,"vocal, country",-1.0191349120897488
73,5.8912426689999995,Brenda Lee,Everybody Loves Me But You,1962,205080,2547,56596,72,vocal,-3.051214193738046
62,6.5617772720000005,Brenda Lee,Losing You,1963,306511,2547,56596,72,pop,-2.769252481583033
79,5.59198657,Brenda Lee,Too Many Rivers,1965,163530,2547,56596,72,,-3.637293235104954
70,6.056689273,Brenda Lee,Coming On Strong,1966,69312,2547,56596,72,pop,-4.6155634282026305
7,27.68441135,Elvis Presley,It's Now Or Never,1960,11766868,19546,1736017,83,pop,0.5587881021218521
9,23.45308318,Elvis Presley,Stuck On You,1960,6695034,19546,1736017,83,"rock and roll, rhythm and blues",-0.005133625937524755
39,8.910403257999999,Elvis Presley,Little Sister,1961,3356388,19546,1736017,83,rock and roll,-0.8155260724682147
51,7.464550900000001,Elvis Presley,Surrender,1961,4599587,19546,1736017,83,pop,-0.5004249513607419
71,6.000251992999999,Elvis Presley,(Marie's The Name) His Latest Flame,1961,6579517,19546,1736017,83,"rock and roll, pop",-0.14243012982871228
96,4.917008807,Elvis Presley,Are You Lonesome Tonight?,1961,11573507,19546,1736017,83,pop,0.4223271385554277
