Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Grammy,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
1,100,Percy Faith,"Theme From ""A Summer Place""",1960,5001152,1180,9877,52,0,easyListening,0,0,1,0,0,0,0,0,0,0,0,0,0
2,63.2878297,Jim Reeves,He'll Have To Go,1960,4377343,4240,59717,59,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
3,48.42838339,The Everly Brothers,Cathy's Clown,1960,4180758,4114,120725,63,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
30,10.59497587,The Everly Brothers,Let It Be Me,1960,697716,4114,120725,63,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
70,6.056689273,The Everly Brothers,So Sad,1960,804269,4114,120725,63,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
91,5.093692001,The Everly Brothers,When Will I Be Loved,1960,508098,4114,120725,63,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
57,6.936215781,The Everly Brothers,Walk Right Back,1961,2192314,4114,120725,63,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
47,7.877989793,The Everly Brothers,Crying In The Rain,1962,3014478,4114,120725,63,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
4,40.05349388,Johnny Preston,Running Bear,1960,1444980,444,2592,38,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
45,8.107365283,Johnny Preston,Cradle Of Love,1960,232921,444,2592,38,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
5,34.56844127,Mark Dinning,Teen Angel,1960,436274,303,412,34,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
6,30.6492728,Brenda Lee,I'm Sorry,1960,3366175,2547,56596,72,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
18,14.84294734,Brenda Lee,Sweet Nothin's,1960,4478743,2547,56596,72,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
43,8.35431448,Brenda Lee,I Want To Be Wanted,1960,390100,2547,56596,72,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
71,6.000251993,Brenda Lee,That's All You Gotta Do,1960,395052,2547,56596,72,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
91,5.093692001,Brenda Lee,Dum Dum,1961,320128,2547,56596,72,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
93,5.021127552,Brenda Lee,You Can Depend On Me,1961,165193,2547,56596,72,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
26,11.64441273,Brenda Lee,Break It To Me Gently,1962,1564747,2547,56596,72,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
73,5.891242669,Brenda Lee,Everybody Loves Me But You,1962,205080,2547,56596,72,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
62,6.561777272,Brenda Lee,Losing You,1963,306511,2547,56596,72,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
79,5.59198657,Brenda Lee,Too Many Rivers,1965,163530,2547,56596,72,0,country,0,1,0,0,0,0,0,0,0,0,0,0,0
70,6.056689273,Brenda Lee,Coming On Strong,1966,69312,2547,56596,72,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
7,27.68441135,Elvis Presley,It's Now Or Never,1960,11766868,19546,1736017,83,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
9,23.45308318,Elvis Presley,Stuck On You,1960,6695034,19546,1736017,83,0,folkORfunk,0,0,0,1,0,0,0,0,0,0,0,0,0
39,8.910403258,Elvis Presley,Little Sister,1961,3356388,19546,1736017,83,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
51,7.4645509,Elvis Presley,Surrender,1961,4599587,19546,1736017,83,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
71,6.000251993,Elvis Presley,(Marie's The Name) His Latest Flame,1961,6579517,19546,1736017,83,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
96,4.917008807,Elvis Presley,Are You Lonesome Tonight?,1961,11573507,19546,1736017,83,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
20,13.84586851,Elvis Presley,Good Luck Charm,1962,5263250,19546,1736017,83,0,popRock,0,0,0,0,0,0,0,1,0,0,0,0,0
57,6.936215781,Elvis Presley,Can't Help Falling In Love,1962,105024049,19546,1736017,83,0,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
69,6.114481004,Elvis Presley,(You're the) Devil in Disguise,1963,16593049,19546,1736017,83,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
95,4.951108236,Elvis Presley,Bossa Nova Baby,1963,1003366,19546,1736017,83,0,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
9,23.45308318,Elvis Presley,Crying in the Chapel,1965,4109700,19546,1736017,83,0,easyListening,0,0,1,0,0,0,0,0,0,0,0,0,0
18,14.84294734,Elvis Presley,Suspicious Minds,1969,76262262,19546,1736017,83,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
35,9.570069478,Elvis Presley,In The Ghetto,1969,43512214,19546,1736017,83,0,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
