Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Prediction,Error,Grammy,GenreRaw,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
51.0,-0.319283405,Billy Bland,Let The Little Girl Dance,-1.569233654,16.2555634,-1.905766324,-1.811979517,-1.936526112,11.43526984,4.820293562,0.0,,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
97.0,-1.014967985,Billy J. Kramer and The Dakotas,Bad to Me,-0.17968324300000002,14.08015069,-0.370453104,-1.5240238730000002,-2.199552636,10.12396324,3.956187453,0.0,"pop, beat",pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,-0.992422824,Dave Brubeck,Take Five,-1.221846051,17.71704873,0.5856084229999999,0.267110754,0.5359232110000001,13.92140734,3.79564139,0.0,,jazz,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,-0.25367977199999997,Scott Mckenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),0.862479565,17.32297293,-0.919824038,-0.130846717,0.27289668699999997,13.68943893,3.633533997,0.0,pop,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,-0.18384079600000003,The Ronettes,Be My Baby,-0.527070846,17.84531311,0.797807939,0.356726699,0.956765649,14.23014573,3.615167388,0.0,r&b,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,-1.026066836,The Chiffons,One Fine Day,-0.527070846,16.31618704,-0.647374146,-0.10192192,0.062475468,12.80977586,3.5064111839999996,0.0,"pop, doo-wop",pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,-1.0370530070000001,The Kingsmen,Louie Louie,-0.17968324300000002,17.16458785,0.281919042,-0.297619935,0.009870164,13.74752462,3.417063232,0.0,,rock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64.0,-0.564988752,Tom Jones,It's Not Unusual,0.16770436,17.44337838,0.805353365,0.8138348879999999,0.74634443,14.13126348,3.312114901,0.0,"pop, vaudeville, bubblegum",pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,-1.026066836,Maurice Williams and the Zodiacs,Stay,-1.569233654,16.67459705,-0.865232766,-0.504127482,-0.095340446,13.3789316,3.2956654469999997,2.0,doo-wop,r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99.0,-1.0370530070000001,B. J. Thomas,Hooked On A Feeling,1.557254771,14.90099775,-0.572675985,0.10345297099999999,-1.620894284,11.60794864,3.293049113,0.0,,pop,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
