Artist	Title	Label	CERTIFIED UNITS(millions)	Release Date	InYearEndChart
ELVIS PRESLEY	HOUND DOG/DON'T BE CRUEL	RCA	4	1956	2
LOS DEL RIO	MACARENA	RCA	4	1995	NaN
TAG TEAM	WHOOMP! (THERE IT IS)	BELLMARK	4	1993	2
THE BEATLES 	HEY JUDE 	APPLE	4	1968	1
USA FOR AFRICA 	WE ARE THE WORLD 	COLUMBIA	4	1985	20
VARIOUS	BAMBI	DISNEYLAND	4	1977	NaN
WHITNEY HOUSTON	I WILL ALWAYS LOVE YOU	ARISTA	4	1992	NaN
BRYAN ADAMS	(EVERYTHING I DO) I DO IT FOR YOU	A&M	3	1991	1
COOLIO	GANGSTA'S PARADISE	MCA	3	1995	1
ELVIS PRESLEY	LOVE ME TENDER/ANY WAY YOU WANT ME	RCA	3	1956	15
LEANN RIMES	HOW DO I LIVE	CURB	3	1995	9
P. DIDDY & FAITH EVANS	I'LL BE MISSING YOU	BAD BOY/ARISTA	3	1997	3
VARIOUS	LADY AND THE TRAMP	DISNEYLAND	3	1977	NaN
VARIOUS	SNOW WHITE	DISNEYLAND	3	1977	NaN
VARIOUS	PINOCCHIO	DISNEYLAND	3	1977	NaN
VARIOUS	CINDERELLA	DISNEYLAND	3	1965	NaN
VARIOUS	THE JUNGLE BOOK	DISNEYLAND	3	1977	NaN
2 PAC	HOW DO U WANT IT/CALIFORNIA LOVE	DEATH ROW/INTERSCOPE	2	1996	17
BONE THUGS 'N HARMONY	THA CROSSROADS	RELATIVITY	2	1996	7
BRANDY & MONICA	THE BOY IS MINE	ATLANTIC	2	1998	2
COLOR ME BADD	I WANNA SEX YOU UP	GIANT	2	1991	2
DUICE	DAZZEY DUKS	BELLMARK	2	1993	16
ELVIS PRESLEY	JAILHOUSE ROCK	RCA	2	1957	16
ELVIS PRESLEY	HEARTBREAK HOTEL/I WAS THE ONE	RCA	2	1956	1
ELVIS PRESLEY	TEDDY BEAR/LOVING YOU	RCA	2	1957	14
ELVIS PRESLEY	ALL SHOOK UP	RCA	2	1957	1
ELVIS PRESLEY	ARE YOU LONESOME TONIGHT	RCA	2	1960	NaN
JEAN KNIGHT	MR. BIG STUFF	STAX	2	1971	18
KRIS KROSS	JUMP	RUFFHOUSE/COLUMBIA	2	1992	3
MADONNA	VOGUE	SIRE	2	1990	5
MARIAH CAREY	ONE SWEET DAY	COLUMBIA	2	1995	2
MARIAH CAREY	FANTASY	COLUMBIA	2	1995	7
NAUGHTY BY NATURE	O.P.P.	TOMMY BOY	2	1991	94
P. DIDDY	CAN'T NOBODY HOLD ME DOWN	BAD BOY/ARISTA	2	1997	5
SIR MIX-A-LOT	BABY GOT BACK	DEF JAM	2	1992	2
SURVIVOR	EYE OF THE TIGER	SCOTTI BROS.	2	1982	2
THE BEATLES	GET BACK	APPLE	2	1969	25
THE BEATLES	LET IT BE	APPLE	2	1970	9
THE BEATLES	SOMETHING	APPLE	2	1969	83
TONE LOC	WILD THING	BROADWAY	2	1988	33
VARIOUS	IT'S A SMALL WORLD	DISNEYLAND	2	1978	NaN
VARIOUS	THE FOX AND THE HOUND	DISNEYLAND	2	1981	NaN
VARIOUS	STAR WARS	BUENA VISTA	2	1979	NaN
VARIOUS	MOTHER GOOSE RHYMES	DISNEYLAND	2	1977	NaN
VARIOUS	SLEEPING BEAUTY	DISNEYLAND	2	1977	NaN
VARIOUS	DUMBO	DISNEYLAND	2	1977	NaN
VARIOUS	THE THREE LITTLE PIGS	DISNEYLAND	2	1978	NaN
VARIOUS	THE WIZARD OF OZ	DISNEYLAND	2	1978	NaN
VARIOUS	MARY POPPINS	DISNEYLAND	2	1977	NaN
VARIOUS	101 DALMATIANS	DISNEYLAND	2	1982	NaN
VARIOUS	PETER PAN	DISNEYLAND	2	1965	NaN
VARIOUS	LION KING READ-ALONG	DISNEYLAND	2	1994	NaN
VARIOUS	WINNIE THE POOH AND THE HONEYTREE	DISNEYLAND	2	1979	NaN
WRECKX 'N' EFFECT	RUMP SHAKER	MCA	2	1992	NaN
