,Rank,RankPowerlaw,Artist_x,Title,Year_x,SpotifyPlayCount,WikiWordCount,GrammyAwards,Year_y,Awards,Artist_y
520,11,20.54380234,Barbra Streisand,People,1964,1096736,9030,,1964,Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),Peter Matz
900,5,34.56844127,The Rascals,People Got To Be Free,1968,600612,2093,,1964,,
918,5,34.56844127,Sly and The Family Stone,Everyday People,1969,49029109,4729,,1964,,
1017,79,5.59198657,Joe South,Games People Play,1969,1685229,1107,,1964,,
345,60,6.705330284,Henry Mancini,Moon River,1962,2813365,2486,,1961,Best Arrangement,Henry Mancini
107,34,9.754924552,Jackie Wilson,Strangers In The Night,1960,81660,4542,,1966,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Ernie Freeman
820,3,48.42838339,Bobby Gentry,Ode To Billie Joe,1967,170998,1880,,1967,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Jimmie Haskell
991,27,11.35794904,"Blood, Sweat and Tears",Spinning Wheel,1969,4195660,940,,1969,Best Arrangement Accompanying Vocalist(s),Fred Lipsius
800,80,5.545754095,The Shadows Of Knight,Stravinsky: Symphony Of Psalms/Poulenc: Gloria,1966,880067,1856,,1965,Best Classical Choral Performance (Other Than Opera),Robert Shaw
938,39,8.910403258,The Crazy World Of Arthur Brown,Stravinsky: The Firebird Ballet,1968,2590197,1366,,1962,Best Classical Performance - Orchestra,Igor Stravinsky
80,24,12.27610461,Frankie Avalon,Why Is There Air?,1960,378916,2080,,1965,Best Comedy Performance,Bill Cosby
475,82,5.456106733,Allan Sherman,"Hello Mudduh, Hello Faddah",1963,445104,3735,,1963,Best Comedy Performance,Allan Sherman
730,7,27.68441135,The Mamas and The Papas,"Monday, Monday",1966,16358219,5544,,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",Mamas And The Papas
741,18,14.84294734,The New Vaudeville Band,Winchester Cathedral,1966,312103,415,,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",New Vaudeville Band
819,3,48.42838339,Bobby Gentry,Ode To Billie Joe,1967,170998,1880,,1967,Best Contemporary Female Solo Vocal Performance,Bobbie Gentry
867,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,,1967,Best Contemporary Group Performance (Vocal Or Instrumental),5th Dimension
982,15,16.74093727,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969,1011300,2486,,1969,Best Contemporary Performance By A Chorus,Percy Faith Chorus
782,9,23.45308318,Simon and Garfunkel,Mrs. Robinson,1968,111152876,5561,,1968,Best Contemporary Pop Performance - Vocal Duo Or Group,Simon And Garfunkel
942,43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,,1968,"Best Contemporary Pop Performance, Instrumental",Mason Williams
549,88,5.207645782,Dionne Warwick,Do You Know The Way To San Jose?,1968,3349983,7251,,1968,"Best Contemporary Pop Vocal Performance, Female",Dionne Warwick
821,6,30.6492728,The Doors,Light My Fire,1967,53866236,8577,,,,
949,52,7.369496097,Jose Feliciano,Light My Fire,1968,3833410,3275,,1968,"Best Contemporary Pop Vocal Performance, Male",Jose Feliciano
866,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,,1967,Best Contemporary Single,5th Dimension
670,8,25.34898699,Tom Jones,I'll Never Fall In Love Again,1969,2488918,4556,,1970,"Best Contemporary Vocal Performance, Female",Dionne Warwick
304,38,9.064478563,Tommy Roe,Everybody,1963,21660,711,,,,
1010,73,5.891242669,Harry Nilsson,Everybody's Talkin',1969,28984946,5091,,1969,"Best Contemporary Vocal Performance, Male",Harry Nilsson
59,15,16.74093727,Marty Robbins,El Paso,1960,8663683,1930,,1960,Best Country & Western Performance,Marty Robbins
276,86,5.287264321,Jimmy Dean,Big Bad John,1961,2739818,1804,,1961,Best Country & Western Recording,Jimmy Dean
330,82,5.456106733,Burl Ives,Funny Way Of Laughin',1962,63127,2470,,1962,Best Country & Western Recording,Burl Ives
790,72,5.945119004,David Houston,Almost Persuaded,1966,245192,583,,1966,Best Country & Western Recording,David Houston
605,83,5.412631479,Roger Miller,Dang Me,1964,1148328,3536,,1964,Best Country & Western Song,Roger Miller
792,72,5.945119004,David Houston,Almost Persuaded,1966,245192,583,,1966,Best Country & Western Song,Billy Sherrill
823,49,7.664266318,The Doors,Don't Touch Me,1969,12795349,8577,,1966,Best Country & Western Vocal Performance - Female,Jeannie Seely
860,89,5.168953147,The Tremeloes,Here Comes My Baby,1967,645472,1669,,1964,Best Country & Western Vocal Performance - Female,Dottie West
604,83,5.412631479,Roger Miller,Dang Me,1964,1148328,3536,,1964,Best Country & Western Vocal Performance - Male,Roger Miller
791,72,5.945119004,David Houston,Almost Persuaded,1966,245192,583,,1966,"Best Country & Western Vocal Performance, Male",David Houston
456,60,6.705330284,Kai Winding,The Nashville Brass Featuring Danny Davis Play More Nashville Sounds,1963,111486,1069,,1969,Best Country Instrumental Performance,Nashville Brass With Danny Davis
948,51,7.4645509,Richard Harris,MacArthur Park,1968,998512,3259,,1969,Best Country Performance By A Duo Or Group With Vocal,Kimberlys
473,36,9.393779234,Johnny Cash,A Boy Named Sue,1969,28269065,8874,,1969,Best Country Song,Shel Silverstein
538,86,5.287264321,Peter and Gordon,"My Woman, My Woman, My Wife",1966,183303,951,,1970,Best Country Song,Marty Robbins
909,12,19.39725958,O.C. Smith,Little Green Apples,1968,231486,747,,1968,Best Country Song,Bobby Russell
102,73,5.891242669,Bobby Darin,If I Were A Carpenter,1966,787790,3031,,1970,Best Country Vocal Performance By A Duo Or Group,Johnny Cash
907,11,20.54380234,Jeannie C. Riley,Harper Valley P.T.A.,1968,2780119,1067,,1968,"Best Country Vocal Performance, Female",Jeannie C. Riley
472,36,9.393779234,Johnny Cash,A Boy Named Sue,1969,28269065,8874,,1969,"Best Country Vocal Performance, Male",Johnny Cash
108,34,9.754924552,Jackie Wilson,Strangers In The Night,1960,81660,4542,,1966,Best Engineered Recording - Non-Classical,Eddie Brackett
582,3,48.42838339,Bobby Goldsboro,A Taste Of Honey,1968,3169958,618,,1965,Best Engineered Recording - Non-Classical,Larry Levine
374,98,4.850547815,"Peter, Paul and Mary",If I Had A Hammer,1962,650774,1386,,1962,Best Folk Recording,Peter
377,17,15.41358678,"Peter, Paul and Mary",Blowin' In The Wind,1963,2388954,1386,,1963,Best Folk Recording,Peter
437,37,9.225435188,Trini Lopez,If I Had A Hammer,1963,975647,1331,,,,
547,44,8.228510611,Dionne Warwick,Alfie,1967,631132,7251,,1967,Best Instrumental Arrangement,Burt Bacharach
581,3,48.42838339,Bobby Goldsboro,A Taste Of Honey,1968,3169958,618,,1965,Best Instrumental Arrangement,Herb Alpert
639,22,13.00172664,Petula Clark,What Now My Love,1966,394047,4478,,1966,Best Instrumental Arrangement,Herb Alpert
941,43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,,1968,Best Instrumental Arrangement,Mike Post
981,15,16.74093727,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969,1011300,2486,,1969,Best Instrumental Arrangement,Henry Mancini
255,74,5.838577711,The Lettermen,Goin' Out Of My Head,1968,399488,1932,,1966,Best Instrumental Jazz Performance - Group Or Soloist With Group,Wes Montgomery
837,51,7.4645509,The Buckinghams,"Mercy, Mercy, Mercy",1967,418148,2064,,1967,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group",Cannonball Adderley
638,22,13.00172664,Petula Clark,What Now My Love,1966,394047,4478,,1966,Best Instrumental Performance (Other Than Jazz),Herb Alpert
583,3,48.42838339,Bobby Goldsboro,Honey,1968,3169958,618,,,,
943,43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,,1968,Best Instrumental Theme,Mason Williams
743,12,19.39725958,Tommy James and The Shondells,Alone,1967,4215058,1387,,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Bill Evans
3,30,10.59497587,The Everly Brothers,Let It Be,1960,697716,4114,,1970,Best Original Score Written For A Motion Picture Or A Television Special,George Harrison
541,34,9.754924552,Betty Everett and Jerry Butler,Let It Be,1964,14221,1249,,1970,Best Original Score Written For A Motion Picture Or A Television Special,George Harrison
373,98,4.850547815,"Peter, Paul and Mary",If I Had A Hammer,1962,650774,1386,,1962,Best Performance By A Chorus,Peter
376,17,15.41358678,"Peter, Paul and Mary",Blowin' In The Wind,1963,2388954,1386,,1963,Best Performance By A Chorus,Peter
481,13,18.39913422,The Beatles,A Hard Day's Night,1964,34734369,14112,,1964,Best Performance By A Chorus,Beatles
789,71,6.000251993,Ray Conniff Singers,Somewhere My Love (Lara's Theme From Dr. Zhivago),1966,750017,1780,,1966,Best Performance By A Chorus,Ray Conniff
865,47,7.877989793,The 5th Dimension,"Up, Up And Away",1967,1462718,2394,,1967,Best Performance By A Chorus,5th Dimension
236,42,8.485070759,Troy Shondell,This Time By Basie! Hits Of The 50's And 60's,1961,28820,793,,1963,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Count Basie
521,12,19.39725958,Al Hirt,Java,1964,362090,961,,1963,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Al Hirt
324,21,13.40711287,The Isley Brothers,It's Your Thing,1969,28175220,2160,,1969,Best R&B Vocal Performance By A Duo Or Group,Isley Brothers
1012,75,5.787081068,Joe Simon,The Chokin' Kind,1969,390349,2638,,1969,"Best R&B Vocal Performance, Male",Joe Simon
173,65,6.360293906,Ricky Nelson,Bernstein Conducts For Young People,1964,91338,4885,,1963,Best Recording For Children,Leonard Bernstein
840,19,14.32262507,Sam and Dave,Soul Man,1967,29327767,4812,,1967,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Sam And Dave
65,4,40.05349388,Roy Orbison,Crying Time,1961,10605581,8654,,1966,Best Rhythm & Blues Recording,Ray Charles
159,19,14.32262507,Ray Charles,Hit The Road Jack,1961,34945564,6315,,1961,Best Rhythm & Blues Recording,Ray Charles
607,85,5.328236693,Nancy Wilson,How Glad I Am,1964,857873,8448,,1964,Best Rhythm & Blues Recording,Nancy Wilson
674,33,9.949031357,James Brown,Papa's Got A Brand New Bag,1965,22403335,12563,,1965,Best Rhythm & Blues Recording,James Brown
827,13,18.39913422,Aretha Franklin,Respect,1967,116863662,4631,,1967,Best Rhythm & Blues Recording,Aretha Franklin
828,13,18.39913422,Aretha Franklin,Respect,1967,116863662,4631,,1967,"Best Rhythm & Blues Solo Vocal Performance, Female",Aretha Franklin
66,4,40.05349388,Roy Orbison,Crying Time,1961,10605581,8654,,1966,"Best Rhythm & Blues Solo Vocal Performance, Male Or Female",Ray Charles
360,74,5.838577711,Dickey Lee,Patches,1962,22266,457,,1970,Best Rhythm & Blues Song,General Johnson
898,4,40.05349388,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,104300081,5475,,1968,Best Rhythm & Blues Song,Otis Redding
1005,65,6.360293906,The Winstons,Color Him Father,1969,131309,260,,1969,Best Rhythm & Blues Song,Richard Spencer
897,4,40.05349388,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,104300081,5475,,1968,"Best Rhythm & Blues Vocal Performance, Male",Otis Redding
