,Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Year_awards,Awards,Artist_award,awardscore
518,11,20.54380234,Barbra Streisand,People,1964,1096736,9030,1964,Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),Peter Matz,1
343,60,6.705330284,Henry Mancini,Moon River,1962,2813365,2486,1961,Best Arrangement,Henry Mancini,1
814,3,48.42838339,Bobby Gentry,Ode To Billie Joe,1967,170998,1880,1967,"Best Arrangement Accompanying A Vocalist Or Instrumentalist,Best Contemporary Female Solo Vocal Performance",Jimmie Haskell,1
983,27,11.35794904,"Blood, Sweat and Tears",Spinning Wheel,1969,4195660,940,1969,Best Arrangement Accompanying Vocalist(s),Fred Lipsius,1
473,82,5.456106733,Allan Sherman,"Hello Muddah, Hello Faddah! (A Letter from Camp)",1963,445104,3735,1963,Best Comedy Performance,Allan Sherman,1
724,7,27.68441135,The Mamas and The Papas,"Monday, Monday",1966,16358219,5544,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",Mamas And The Papas,1
735,18,14.84294734,The New Vaudeville Band,Winchester Cathedral,1966,312103,415,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",New Vaudeville Band,1
974,15,16.74093727,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969,1011300,2486,1969,Best Contemporary Performance By A Chorus,Percy Faith Chorus,1
776,9,23.45308318,Simon and Garfunkel,Mrs. Robinson,1968,111152876,5561,1968,Best Contemporary Pop Performance - Vocal Duo Or Group,Simon And Garfunkel,1
934,43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,1968,"Best Contemporary Pop Performance, Instrumental",Mason Williams,1
941,52,7.369496097,Jose Feliciano,Light My Fire,1968,3833410,3275,1968,"Best Contemporary Pop Vocal Performance, Male",Jose Feliciano,1
1009,79,5.59198657,Joe South,Games People Play,1969,1685229,1107,1969,Best Contemporary Song,Joe South,1
663,8,25.34898699,Tom Jones,I'll Never Fall In Love Again,1969,2488918,4556,1970,"Best Contemporary Vocal Performance, Female",Dionne Warwick,1
1002,73,5.891242669,Harry Nilsson,Everybody's Talkin',1969,28984946,5091,1969,"Best Contemporary Vocal Performance, Male",Harry Nilsson,1
59,15,16.74093727,Marty Robbins,El Paso,1960,8663683,1930,1960,Best Country & Western Performance,Marty Robbins,1
274,86,5.287264321,Jimmy Dean,Big Bad John,1961,2739818,1804,1961,Best Country & Western Recording,Jimmy Dean,1
328,82,5.456106733,Burl Ives,Funny Way Of Laughin',1962,63127,2470,1962,Best Country & Western Recording,Burl Ives,1
784,72,5.945119004,David Houston,Almost Persuaded,1966,245192,583,1966,"Best Country & Western Recording, Best Country & Western Song, Best Country & Western Vocal Performance, Male",David Houston,1
599,83,5.412631479,Roger Miller,Dang Me,1964,1148328,3536,1964,Best Country & Western Song,Roger Miller,1
854,89,5.168953147,The Tremeloes,Here Comes My Baby,1967,645472,1669,1964,Best Country & Western Vocal Performance - Female,Dottie West,1
598,83,5.412631479,Roger Miller,Dang Me,1964,1148328,3536,1964,Best Country & Western Vocal Performance - Male,Roger Miller,1
940,51,7.4645509,Richard Harris,MacArthur Park,1968,998512,3259,1969,Best Country Performance By A Duo Or Group With Vocal,Kimberlys,1
181,98,4.850547815,Maurice Williams and the Zodiacs,Stay,1960,17445583,790,2008,"Best Country Performance By A Duo Or Group With Vocals,Best Country Song",Sugarland,2
902,12,19.39725958,O.C. Smith,Little Green Apples,1968,231486,747,1968,Best Country Song,Bobby Russell,1
470,36,9.393779234,Johnny Cash,A Boy Named Sue,1969,28269065,8874,1969,"Best Country Song,Best Country Vocal Performance, Male",Johnny Cash,2
65,4,40.05349388,Roy Orbison,Crying,1961,10605581,8654,1988,Best Country Vocal Collaboration,Roy Orbison,1
187,2,63.2878297,Patsy Cline,I Fall To Pieces,1961,8098285,8503,1994,Best Country Vocal Collaboration,Aaron Neville,1
101,73,5.891242669,Bobby Darin,If I Were A Carpenter,1966,787790,3031,1970,Best Country Vocal Performance By A Duo Or Group,Johnny Cash,1
325,41,8.621099442,Clyde McPhatter,Lover Please,1962,169633,1688,1975,Best Country Vocal Performance By A Duo Or Group,Kris Kristofferson,1
17,26,11.64441273,Brenda Lee,Break It To Me Gently,1962,1564747,2547,1982,"Best Country Vocal Performance, Female",Juice Newton,1
900,11,20.54380234,Jeannie C. Riley,Harper Valley P.T.A.,1968,2780119,1067,1968,"Best Country Vocal Performance, Female",Jeannie C. Riley,1
154,78,5.63920084,Ray Charles,Georgia On My Mind,1960,203180,6315,1978,"Best Country Vocal Performance, Male",Willie Nelson,1
953,83,5.412631479,The Foundations,"Baby, Now That I've Found You",1968,1241259,3982,1995,Best Female Country Vocal Performance,Alison Krauss,1
375,17,15.41358678,"Peter, Paul and Mary",Blowin' In The Wind,1963,2388954,1386,1963,"Best Folk Recording, Best Performance By A Chorus",Peter,1
372,98,4.850547815,"Peter, Paul and Mary",If I Had A Hammer,1962,650774,1386,1962,"Best Folk Recording, Best Performance By A Chorus",Peter,1
536,86,5.287264321,Peter and Gordon,Woman,1966,183303,951,2006,Best Hard Rock Performance,Wolfmother,1
545,44,8.228510611,Dionne Warwick,Alfie,1967,631132,7251,1967,Best Instrumental Arrangement,Burt Bacharach,1
973,15,16.74093727,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969,1011300,2486,1969,Best Instrumental Arrangement,Henry Mancini,1
702,11,20.54380234,The Lovin' Spoonful,Summer In The City,1966,23790469,2804,1973,Best Instrumental Arrangement,Quincy Jones,1
935,43,8.35431448,Mason Williams,Classical Gas,1968,2922557,1908,1968,"Best Instrumental Arrangement,Best Instrumental Theme",Mason Williams,2
831,51,7.4645509,The Buckinghams,"Mercy, Mercy, Mercy",1967,418148,2064,1967,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group",Cannonball Adderley,1
677,48,7.769280177,The Yardbirds,For Your Love,1965,8967649,5119,1995,"Best Male R&B Vocal Performance,Best Rhythm & Blues Song",Stevie Wonder,2
971,11,20.54380234,Three Dog Night,One,1969,6394149,2291,1989,Best Metal Performance,Metallica,1
479,13,18.39913422,The Beatles,A Hard Day's Night,1964,34734369,14112,1964,Best Performance By A Chorus,Beatles,1
519,12,19.39725958,Al Hirt,Java,1964,362090,961,1963,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Al Hirt,1
159,80,5.545754095,Ray Charles,Here We Go Again,1967,10222548,6315,2004,"Best Pop Collaboration With Vocals,Record Of The Year",Norah Jones,3
580,69,6.114481004,Joe Hinton,Funny How Time Slips Away,1964,16014,282,1994,Best Pop Vocal Collaboration,Al Green,1
35,8,25.34898699,Jimmy Jones,Handy Man,1960,564091,461,1977,"Best Pop Vocal Performance, Male",James Taylor,1
173,37,9.225435188,Johnny Tillotson,Without You,1961,146415,1278,1972,"Best Pop Vocal Performance, Male",Harry Nilsson,1
1010,79,5.59198657,Joe South,Games People Play,1969,1685229,1107,1969,Best R&B Instrumental Performance,King Curtis,1
666,30,10.59497587,The McCoys,Hang On Sloopy,1965,5522188,499,1973,Best R&B Instrumental Performance,Ramsey Lewis,1
498,83,5.412631479,The Beatles,Something,1969,37384485,14112,2013,Best R&B Performance,Lalah Hathaway,1
322,21,13.40711287,The Isley Brothers,It's Your Thing,1969,28175220,2160,1969,Best R&B Vocal Performance By A Duo Or Group,Isley Brothers,1
963,19,14.32262507,Creedence Clearwater Revival,Proud Mary,1969,42019403,4772,1971,Best R&B Vocal Performance By A Group,Ike,1
845,57,6.936215781,Marvin Gaye and Tammi Terrell,Ain't Nothing Like The Real Thing,1968,7685617,581,1974,"Best R&B Vocal Performance, Female",Aretha Franklin,1
632,22,13.00172664,Petula Clark,My Love,1966,394047,4478,2006,Best Rap/Sung Collaboration,Justin Timberlake,1
834,19,14.32262507,Sam and Dave,Soul Man,1967,29327767,4812,1967,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Sam And Dave,1
155,19,14.32262507,Ray Charles,Hit The Road Jack,1961,34945564,6315,1961,Best Rhythm & Blues Recording,Ray Charles,1
821,13,18.39913422,Aretha Franklin,Respect,1967,116863662,4631,1967,"Best Rhythm & Blues Recording,Best Rhythm & Blues Solo Vocal Performance, Female",Aretha Franklin,2
997,65,6.360293906,The Winstons,Color Him Father,1969,131309,260,1969,Best Rhythm & Blues Song,Richard Spencer,1
358,74,5.838577711,Dickey Lee,Patches,1962,22266,457,1970,Best Rhythm & Blues Song,General Johnson,1
892,4,40.05349388,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,104300081,5475,1968,"Best Rhythm & Blues Song,Best Rhythm & Blues Vocal Performance, Male",Otis Redding,2
320,37,9.225435188,Bent Fabric,Alley Cat,1962,145527,630,1962,Best Rock & Roll Recording,Bent Fabric,1
413,19,14.32262507,Nino Tempo and April Stevens,Deep Purple,1963,297983,554,1963,Best Rock & Roll Recording,April Stevens,1
